Tytul,Adres,Czynsz najmu,Czynsz administracyjny,Powierzchnia,Liczba pokoi,Ogrzewanie,Stan wykończenia,Dostępne od,Kaucja,Typ ogłoszeniodawcy,Informacje dodatkowe,Rok budowy,Winda,Rodzaj zabudowy,Materiał budynku,Okna,Certyfikat energetyczny,Bezpieczeństwo,Wyposażenie,Zabezpieczenia,Media,Mieszkanie Piętro,Budynek Piętro,Dlugosc geo,Szerokosc geo,Dzielnica,Obszar w dzielnicy
Wynajmę mieszkanie Naramowice Osiedle Jaśminowe,"ul. Karpia, Naramowice, Stare Miasto, Poznań, wielkopolskie",2000,2000,35,1,miejskie,do zamieszkania,2026-05-01,4000,prywatny,"['balkon', 'garaż/miejsce parkingowe', 'oddzielna kuchnia', 'tylko dla niepalących']",2018.0,tak,blok,pustak,drewniane,A,teren zamknięty,"['meble', 'pralka', 'zmywarka', 'lodówka', 'kuchenka', 'piekarnik']",domofon / wideofon,"['internet', 'telewizja kablowa']",2,4,52.445407094858,16.958946555233,Stare Miasto,Naramowice
Wynajem mieszkania 3 pokoje,"Grunwald, Grunwald, Poznań, wielkopolskie",3500,750,63,3,miejskie,do zamieszkania,2025-05-19,5000,prywatny,"['balkon', 'garaż/miejsce parkingowe', 'tylko dla niepalących']",2024.0,tak,blok,,,,"['monitoring / ochrona', 'teren zamknięty']","['meble', 'pralka', 'zmywarka', 'lodówka', 'kuchenka', 'piekarnik', 'telewizor', 'klimatyzacja']",,,6,7,,,Grunwald,Grunwald
Wynajmę 3 pokojowe mieszkanie Poznań Łazarz,"ul. Józefa Strusia, Łazarz, Grunwald, Poznań, wielkopolskie",3200,450,56,3,gazowe,do zamieszkania,2025-05-22,5000,prywatny,"['ogródek', 'tak', 'piwnica', 'tylko dla niepalących', 'Wynajmę również studentom']",1910.0,nie,kamienica,cegła,drewniane,W trakcie realizacji / Zwolnione,"['teren zamknięty', 'monitoring / ochrona']","['meble', 'pralka', 'zmywarka', 'lodówka', 'kuchenka', 'piekarnik']","['drzwi / okna antywłamaniowe', 'domofon / wideofon']",,1,3,52.3966999,16.9036399,Grunwald,Łazarz
"Mieszkanie, ul. Katowicka, ATANER (remont 09.25)","ul. Katowicka, Łacina, Nowe Miasto, Poznań, wielkopolskie",2700,840,55.2,2,miejskie,do zamieszkania,brak informacji,5400,prywatny,"['taras', 'pom. użytkowe']",,tak,apartamentowiec,,plastikowe,B,monitoring / ochrona,"['zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'pralka']","['system alarmowy', 'domofon / wideofon']","['telewizja kablowa', 'internet']",5,6,52.3977423,16.9650684,Nowe Miasto,Łacina
Obok lotniska/parking/F-Vat/balkon/przystanek Mpk,"Policka, Ławica, Grunwald, Poznań, wielkopolskie",3500,,72,2,brak informacji,brak informacji,brak informacji,,biuro nieruchomości,"['balkon', 'garaż/miejsce parkingowe']",2008.0,nie,,,,,,,,internet,2,2,52.4125762,16.8170984,Grunwald,Grunwald
Mieszkanie na poznanskim Grunwaldzie,"Pogodno, Grunwald, Poznań, wielkopolskie",2200,1200,51.6,3,miejskie,do zamieszkania,2025-05-01,3500,prywatny,piwnica,,nie,blok,cegła,plastikowe,,,"['lodówka', 'meble', 'piekarnik', 'kuchenka', 'pralka']","['drzwi / okna antywłamaniowe', 'domofon / wideofon', 'rolety antywłamaniowe']",,0,4,,,Grunwald,Grunwald
Mieszkanie w zrewitalizowanej kamienicy,"ul. Józefa Chełmońskiego, Łazarz, Grunwald, Poznań, wielkopolskie",2500,550,37,2,miejskie,do zamieszkania,2025-06-02,3000,prywatny,garaż/miejsce parkingowe,2022.0,tak,kamienica,cegła,plastikowe,,,"['zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'pralka']",domofon / wideofon,,3,4,52.3999742,16.8989233,Grunwald,Łazarz
Wynajmę mieszkani przy Wartostradzie,"ul. Droga Dębińska, Łęgi Dębińskie, Wilda, Poznań, wielkopolskie",3500,630,43.5,2,miejskie,do zamieszkania,2025-06-01,3500,prywatny,"['balkon', 'tylko dla niepalących']",2021.0,tak,blok,silikat,plastikowe,,"['monitoring / ochrona', 'teren zamknięty']","['meble', 'pralka', 'zmywarka', 'lodówka', 'kuchenka', 'piekarnik', 'telewizor', 'klimatyzacja']",domofon / wideofon,"['internet', 'telewizja kablowa']",4,4,52.396540448229,16.935471179932,Wilda,Wilda
Stylowe 2-pokojowe mieszkanie z dużym tarasem – Osiedle Botaniczna,"ul. Zofii Nałkowskiej, Ogrody, Jeżyce, Poznań, wielkopolskie",2300,600,34,2,brak informacji,do zamieszkania,brak informacji,3000,prywatny,"['taras', 'garaż/miejsce parkingowe', 'tylko dla niepalących']",2016.0,nie,blok,,plastikowe,,monitoring / ochrona,"['meble', 'pralka', 'zmywarka', 'lodówka', 'kuchenka', 'piekarnik']","['rolety antywłamaniowe', 'domofon / wideofon']",,brak informacji,,52.4181027,16.8884125,Jeżyce,Jeżyce
"2 niezależne pokoje osobna kuchnia, szybki tramwaj","os. Bolesława Śmiałego, Różany Potok, Stare Miasto, Poznań, wielkopolskie",2300,785,48.64,2,miejskie,do zamieszkania,2025-05-23,,biuro nieruchomości,"['balkon', 'garaż/miejsce parkingowe', 'oddzielna kuchnia']",2015.0,tak,blok,pustak,plastikowe,,,"['meble', 'pralka', 'lodówka', 'kuchenka', 'piekarnik']",domofon / wideofon,internet,1,5,52.46491,16.93671,Stare Miasto,Różany Potok
