type,name
obszar w dzielnicy,os. Przemysława
obszar w dzielnicy,os. Lotnictwa Polskiego
obszar w dzielnicy,Śródka
obszar w dzielnicy,Raszyn
obszar w dzielnicy,Strzeszynek
obszar w dzielnicy,Krzesiny
obszar w dzielnicy,Antoninek
obszar w dzielnicy,os. Władysława Łokietka
obszar w dzielnicy,os. Hetmańskie HCP
obszar w dzielnicy,Wielkie
obszar w dzielnicy,Radojewo
obszar w dzielnicy,os. Powstańców Śląskich
obszar w dzielnicy,Umultowo
obszar w dzielnicy,Psarskie
obszar w dzielnicy,Michałowo
obszar w dzielnicy,os. Dębina
obszar w dzielnicy,Minikowo
obszar w dzielnicy,Łazarz
obszar w dzielnicy,Sołacz
obszar w dzielnicy,Morasko
obszar w dzielnicy,Grunwald
obszar w dzielnicy,Strzeszyn
obszar w dzielnicy,Naramowice
obszar w dzielnicy,Marlewo
obszar w dzielnicy,Wilda
obszar w dzielnicy,Centrum
obszar w dzielnicy,os. Kwiatowe
obszar w dzielnicy,Kopanina
obszar w dzielnicy,Pogodno
obszar w dzielnicy,Darzybór
obszar w dzielnicy,Fabianowo
obszar w dzielnicy,Zatorze
obszar w dzielnicy,Górczynek
obszar w dzielnicy,Krzesinki
obszar w dzielnicy,Winiary
obszar w dzielnicy,Górczyn
obszar w dzielnicy,Rataje
obszar w dzielnicy,Winogrady
obszar w dzielnicy,os. Bajkowe
obszar w dzielnicy,Miłostowo
obszar w dzielnicy,Junikowo
obszar w dzielnicy,Nowa Wieś Dolna
obszar w dzielnicy,Kiekrz
obszar w dzielnicy,Sypniewo
obszar w dzielnicy,Wilczy Młyn
obszar w dzielnicy,Świerczewo
obszar w dzielnicy,Spławie
obszar w dzielnicy,Kasztelanów
obszar w dzielnicy,Św. Roch
obszar w dzielnicy,Ławica
obszar w dzielnicy,Świt
obszar w dzielnicy,Głuszyna
obszar w dzielnicy,Szeląg
obszar w dzielnicy,Jeżyce
obszar w dzielnicy,Antonin
obszar w dzielnicy,Zieliniec
obszar w dzielnicy,os. ks. Jerzego Popiełuszki
obszar w dzielnicy,Golęcin
obszar w dzielnicy,Ostrów Tumski
obszar w dzielnicy,Zawady
obszar w dzielnicy,Łacina
obszar w dzielnicy,Karolin
obszar w dzielnicy,Smochowice
obszar w dzielnicy,Starołęka Mała
obszar w dzielnicy,Łęgi Dębińskie
obszar w dzielnicy,Różany Potok
obszar w dzielnicy,Kotowo
obszar w dzielnicy,Krzyżowniki
obszar w dzielnicy,Chwaliszewo
obszar w dzielnicy,Podolany
obszar w dzielnicy,Marcelin
obszar w dzielnicy,Ostroróg
obszar w dzielnicy,Komandoria
obszar w dzielnicy,Dębina
obszar w dzielnicy,Edwardowo
obszar w dzielnicy,Janikowo
obszar w dzielnicy,Chartowo
obszar w dzielnicy,Piątkowo
obszar w dzielnicy,Garaszewo
obszar w dzielnicy,Pokrzywno
obszar w dzielnicy,Kobyle Pole
obszar w dzielnicy,Starołęka Wielka
obszar w dzielnicy,Piotrowo
obszar w dzielnicy,os. Lotników Wielkopolskich
obszar w dzielnicy,Wola
obszar w dzielnicy,Stare Miasto
obszar w dzielnicy,Malta
obszar w dzielnicy,Franowo
obszar w dzielnicy,Dębiec
obszar w dzielnicy,Szczepankowo
obszar w dzielnicy,Cytadela
obszar w dzielnicy,Główna
obszar w dzielnicy,Nowa Wieś Górna
obszar w dzielnicy,os. Mikołaja Kopernika
obszar w dzielnicy,os. Warszawskie
obszar w dzielnicy,Ogrody
obszar w dzielnicy,Żegrze
obszar w dzielnicy,Rudnicze
